Wavenumber	O2-Amplitude	Phase	Real	Imag
1400.000000	0.890403	-0.544917	0.890363	-0.008468	
1404.000000	0.891636	-0.395209	0.891614	-0.006150	
1408.000000	0.891847	-0.264695	0.891838	-0.004120	
1412.000000	0.891848	-0.156228	0.891845	-0.002432	
1416.000000	0.891873	-0.039689	0.891872	-0.000618	
1420.000000	0.891531	0.103012	0.891529	0.001603	
1424.000000	0.890306	0.248320	0.890298	0.003859	
1428.000000	0.888282	0.344428	0.888266	0.005340	
1432.000000	0.886248	0.364097	0.886230	0.005632	
1436.000000	0.884999	0.330236	0.884984	0.005101	
1440.000000	0.884804	0.292065	0.884793	0.004510	
1444.000000	0.885410	0.297285	0.885398	0.004594	
1448.000000	0.886143	0.379378	0.886124	0.005867	
1452.000000	0.885949	0.542476	0.885909	0.008388	
1456.000000	0.883700	0.734291	0.883627	0.011325	
1460.000000	0.879107	0.841996	0.879012	0.012919	
1464.000000	0.873425	0.760155	0.873348	0.011588	
1468.000000	0.868716	0.471636	0.868687	0.007151	
1472.000000	0.866589	0.045172	0.866589	0.000683	
1476.000000	0.867794	-0.411825	0.867772	-0.006237	
1480.000000	0.872279	-0.778993	0.872199	-0.011859	
1484.000000	0.879042	-0.943094	0.878923	-0.014468	
1488.000000	0.886086	-0.841664	0.885990	-0.013016	
1492.000000	0.891074	-0.505108	0.891039	-0.007855	
1496.000000	0.892415	-0.045733	0.892415	-0.000712	
1500.000000	0.889811	0.394951	0.889790	0.006134	
1504.000000	0.884174	0.686931	0.884110	0.010600	
1508.000000	0.877540	0.742238	0.877467	0.011368	
1512.000000	0.872633	0.573714	0.872589	0.008738	
1516.000000	0.871305	0.320805	0.871291	0.004878	
1520.000000	0.873359	0.153392	0.873355	0.002338	
1524.000000	0.877297	0.170186	0.877294	0.002606	
1528.000000	0.881369	0.398366	0.881347	0.006128	
1532.000000	0.883708	0.811331	0.883619	0.012513	
1536.000000	0.882600	1.303244	0.882372	0.020074	
1540.000000	0.877793	1.690793	0.877411	0.025900	
1544.000000	0.871305	1.829162	0.870861	0.027812	
1548.000000	0.865803	1.720850	0.865413	0.026000	
1552.000000	0.862671	1.466812	0.862388	0.022083	
1556.000000	0.861970	1.165791	0.861792	0.017537	
1560.000000	0.863260	0.880361	0.863158	0.013264	
1564.000000	0.866030	0.650909	0.865974	0.009838	
1568.000000	0.869649	0.507893	0.869615	0.007709	
1572.000000	0.873275	0.461569	0.873246	0.007035	
1576.000000	0.876076	0.488796	0.876044	0.007474	
1580.000000	0.877589	0.538288	0.877550	0.008245	
1584.000000	0.877949	0.548985	0.877909	0.008412	
1588.000000	0.877965	0.477033	0.877935	0.007310	
1592.000000	0.878843	0.329588	0.878829	0.005055	
1596.000000	0.881420	0.177961	0.881416	0.002738	
1600.000000	0.885405	0.115508	0.885403	0.001785	
1604.000000	0.889536	0.186773	0.889532	0.002900	
1608.000000	0.892563	0.360276	0.892545	0.005612	
1612.000000	0.894116	0.561722	0.894073	0.008766	
1616.000000	0.894897	0.735351	0.894823	0.011485	
1620.000000	0.895958	0.896662	0.895848	0.014021	
1624.000000	0.897410	1.111607	0.897241	0.017410	
1628.000000	0.898346	1.400658	0.898077	0.021959	
1632.000000	0.898274	1.710766	0.897873	0.026817	
1636.000000	0.897963	1.982806	0.897425	0.031069	
1640.000000	0.899205	2.231040	0.898523	0.035005	
1644.000000	0.903476	2.619534	0.902532	0.041292	
1648.000000	0.908668	3.416032	0.907053	0.054144	
1652.000000	0.908374	4.640952	0.905396	0.073498	
1656.000000	0.898934	5.946328	0.894097	0.093127	
1660.000000	0.882010	7.019862	0.875398	0.107793	
1664.000000	0.860118	7.715673	0.852331	0.115477	
1668.000000	0.835208	7.895834	0.827290	0.114735	
1672.000000	0.810649	7.371377	0.803950	0.104006	
1676.000000	0.792806	6.109317	0.788303	0.084375	
1680.000000	0.787150	4.560377	0.784658	0.062586	
1684.000000	0.791137	3.381001	0.789760	0.046658	
1688.000000	0.797008	2.731668	0.796102	0.037984	
1692.000000	0.800411	2.319431	0.799755	0.032393	
1696.000000	0.802182	1.854361	0.801762	0.025958	
1700.000000	0.805440	1.281283	0.805239	0.018010	
1704.000000	0.812091	0.781102	0.812015	0.011071	
1708.000000	0.820569	0.572918	0.820528	0.008205	
1712.000000	0.827190	0.669610	0.827133	0.009667	
1716.000000	0.829770	0.878384	0.829673	0.012720	
1720.000000	0.828987	0.998711	0.828861	0.014449	
1724.000000	0.826940	0.948486	0.826827	0.013689	
1728.000000	0.825519	0.756700	0.825447	0.010902	
1732.000000	0.825748	0.511714	0.825715	0.007375	
1736.000000	0.827630	0.320684	0.827617	0.004632	
1740.000000	0.830043	0.262105	0.830034	0.003797	
1744.000000	0.831330	0.321624	0.831317	0.004667	
1748.000000	0.830748	0.400096	0.830728	0.005801	
1752.000000	0.828886	0.409871	0.828864	0.005929	
1756.000000	0.826782	0.320134	0.826769	0.004620	
1760.000000	0.825408	0.138392	0.825405	0.001994	
1764.000000	0.825646	-0.093386	0.825645	-0.001346	
1768.000000	0.827880	-0.286473	0.827869	-0.004139	
1772.000000	0.831256	-0.351063	0.831241	-0.005093	
1776.000000	0.834227	-0.285362	0.834217	-0.004155	
1780.000000	0.836016	-0.160359	0.836012	-0.002340	
1784.000000	0.836800	-0.036858	0.836800	-0.000538	
1788.000000	0.837030	0.061983	0.837029	0.000905	
1792.000000	0.837010	0.135992	0.837008	0.001987	
1796.000000	0.836834	0.188543	0.836829	0.002754	
